alpha,beta,gamma,tau,scf_cc,scf_bc,scf_bs,scf_cs
22,0.7,20,0.6,1.12100817,0.747127745,13.00490546,17.701412
31,0.7,20,0.6,1.116256956,0.744254448,13.01495852,17.71649294
40,0.7,20,0.6,1.113226815,0.743710491,13.01487532,17.71853605
22,0.7,32,0.4,1.17834975,0.898745089,16.21854166,17.74302442
31,0.7,32,0.4,1.148032825,0.857079361,16.25889979,17.79169653
40,0.7,32,0.4,1.143002202,0.847486726,16.27442689,17.80984395
22,0.2,20,1,6.091077058,0.706178517,6.744965924,17.81375772
31,0.2,20,1,6.09080049,0.708338816,6.746323173,17.8222838
40,0.2,20,1,6.08890171,0.708803315,6.749987584,17.82379941
13,0.3,20,0.8,4.173453168,0.357098125,9.823850201,17.89033173
22,0.6,32,0.4,1.206425904,0.649466433,16.51169624,17.93011313
4,0.2,32,1,7.363271501,1.10259777,7.49226549,17.97131538
31,0.6,32,0.4,1.17699229,0.619174988,16.54953077,17.97852708
40,0.6,32,0.4,1.173896627,0.61740278,16.68731338,17.99712163
22,0.6,20,0.6,1.276573722,0.624517464,12.80003073,18.02033251
31,0.6,20,0.6,1.27322201,0.623625499,12.81154442,18.0370392
40,0.6,20,0.6,1.270212677,0.623091277,12.81235432,18.03929078
22,0.3,20,0.8,3.87377795,0.234035831,10.13191471,18.44417881
31,0.3,20,0.8,3.873339117,0.231783172,10.14128199,18.46078073
40,0.3,20,0.8,3.870863982,0.231295908,10.14271337,18.4628099
4,0.3,32,1,6.704218845,1.342082949,7.972192038,18.6218166
13,0.3,32,0.6,3.083456357,1.550331515,14.46014704,19.60302432
4,0.6,20,0.6,3.178247829,10.92820642,13.82085313,20.39201865
13,0.4,20,0.8,3.094553428,0.311803444,11.66163989,20.90667643
31,0.2,32,0.4,1.144275062,2.181261679,19.89005408,21.00545962
13,0.2,32,0.8,5.970694342,0.891725067,11.45772767,21.60752851
22,0.4,20,0.8,2.690730881,0.154070872,12.05357819,21.63481585
31,0.4,20,0.8,2.688292228,0.151942588,12.06596201,21.6559297
40,0.4,20,0.8,2.684892274,0.151230923,12.06768896,21.65891008
22,0.3,32,0.6,2.124727589,1.169114607,16.14404304,22.04974896
31,0.3,32,0.6,2.096366106,1.160866874,16.17069004,22.090457
40,0.3,32,0.6,2.09337041,1.158457605,16.18431672,22.10895457
13,0.4,32,0.6,2.683244274,0.740081127,15.90569322,22.21613092
13,0.3,20,1,5.139925326,0.505419106,9.483737658,22.3795469
13,0.5,20,0.8,2.395593187,0.213747533,13.15344038,22.98236535
22,0.3,20,1,4.749819453,0.6472714,9.806918243,23.08457098
31,0.3,20,1,4.74921083,0.650223463,9.815988893,23.10567242
40,0.3,20,1,4.746017286,0.650889714,9.818089538,23.10844777
22,0.2,32,0.8,5.241312374,0.545035034,12.55384457,23.65178077
31,0.2,32,0.8,5.21701482,0.538101877,12.56853906,23.6871474
40,0.2,32,0.8,5.215740367,0.53627475,12.58155039,23.70195655
22,0.5,20,0.8,1.940095742,0.03062384,13.5894439,23.79846935
31,0.5,20,0.8,1.936025866,0.028740078,13.60364403,23.82160916
40,0.5,20,0.8,1.931927435,0.028002839,13.60530176,23.82492857
13,0.5,32,0.6,2.680827808,0.442470229,17.68315408,23.91525477
13,0.6,20,0.8,1.970024748,0.254439736,14.20958744,24.03441702
13,0.7,20,0.8,1.649729412,0.460716706,14.04613169,24.08912515
4,0.4,32,0.4,1.136353135,16.05954903,19.30835969,24.48197949
22,0.7,20,0.8,1.252682338,0.289696879,14.38385504,24.7335215
31,0.7,20,0.8,1.247045858,0.288627961,14.39291421,24.75165409
40,0.7,20,0.8,1.242516868,0.28790619,14.39215554,24.75406544
22,0.6,20,0.8,1.516668303,0.064372934,14.63420897,24.82311234
31,0.6,20,0.8,1.511578843,0.062937747,14.64723528,24.84505546
40,0.6,20,0.8,1.507091824,0.062147498,14.64947842,24.84828165
13,0.6,32,0.6,2.661311944,0.46771225,18.93617684,25.24544353
22,0.4,32,0.6,1.444979748,0.185171005,18.08145989,25.49392302
31,0.4,32,0.6,1.409738936,0.173245171,18.11327187,25.54782309
40,0.4,32,0.6,1.405335594,0.170506303,18.13035986,25.57210091
13,0.7,32,0.6,2.474105217,0.786470944,19.71330741,25.80228167
13,0.3,32,0.8,4.318722671,0.581151232,14.83057524,26.32918122
13,0.4,20,1,3.85799667,0.465728118,11.39922187,26.36678001
13,0.2,32,1,7.379838698,0.261108295,10.76782452,26.54018647
4,0.7,32,0.6,8.115257817,34.41600243,20.31228545,27.10958765
22,0.4,20,1,3.334134013,0.646022496,11.81126608,27.29333424
31,0.4,20,1,3.330877814,0.64883144,11.8235513,27.32002535
40,0.4,20,1,3.326338365,0.649562552,11.82575126,27.32385608
22,0.5,32,0.6,1.333650196,0.222699262,20.22011512,27.67051432
31,0.5,32,0.6,1.296097192,0.23676492,20.25652063,27.73103244
40,0.5,32,0.6,1.291088281,0.239580394,20.27729203,27.75813795
22,0.6,32,0.6,1.355754731,0.142170802,21.5226144,29.00410639
